id,original_title,website,final_company_name,ai_first_sentence,email,phone,city,category
16,GAZ-TERM | Daniel Palko,http://www.gaz-term.sk/,Gaz Term,"Dobrý deň. Páči sa mi, že v Gaz Term sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 159 269,Považská Bystrica,Obchod s potrebami pre inštalatérov
17,PRIPOJKY.info | Projekty voda - kanalizácia - plyn - elektrika - elektroinštalácie,https://pripojky.info/,Pripojky,"Dobrý deň. Páči sa mi, že v Pripojky sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 915 768 953,"Opatovce, Žitavany",Projektantské služby
18,"Kúrenie, voda, plyn-Pavol Jakubec",,"Kúrenie, voda, plyn-Pavol Jakubec","Dobrý deň. Páči sa mi, že v Kúrenie, voda, plyn-Pavol Jakubec sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 839 211,Turzovka,Kúrenárske práce
19,ABSOL s.r.o.,http://www.absol.sk/,Absol,"Dobrý deň. Páči sa mi, že v Absol sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 918 583 574,Pezinok,Obchod
20,Montinštala,http://www.montinstala.sk/,Montinstala,"Dobrý deň. Páči sa mi, že v Montinstala sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 235 563,Lužianky,Vodoinštalatér
21,Revízie plynových zariadení - RTHOMOLA,https://www.rthomola.sk/,Rthomola,"Dobrý deň. Páči sa mi, že v Rthomola sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 606 010,Nitra,Služba inštalácie plynu
22,"Plynomont, S.r.o.",https://www.novezamky.sk/plynomont-s-r-o/os-1748,Novezamky,"Dobrý deň. Páči sa mi, že v Novezamky sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 35/642 42 24,Nové Zámky,
23,V-K-Plyn,https://v-k-plyn.sk/,V K Plyn,"Dobrý deň. Páči sa mi, že v V K Plyn sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 137 502,,Kúrenárske práce
24,Nyári Ján,http://www.nyari.sk/,Nyari,"Dobrý deň. Páči sa mi, že v Nyari sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 666 551,Dubník,Vodoinštalatér
25,Gasrev s.r.o.,https://gasrev.sk/,Gasrev,"Dobrý deň. Páči sa mi, že v Gasrev sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 915 300 345,Košice,Plynoinštalatér
26,Revízny technik - východ,https://www.reviznytechnik-vychod.sk/,Reviznytechnik Vychod,"Dobrý deň. Páči sa mi, že v Reviznytechnik Vychod sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 919 141 487,,Služba inštalácie plynu
27,REVÍZIE PLYNU a plynových zariadení,,REVÍZIE PLYNU a plynových zariadení,"Dobrý deň. Páči sa mi, že v REVÍZIE PLYNU a plynových zariadení sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 940 225 747,Žilina,Plynoinštalatér
28,Revízie a servis s.r.o.,http://www.revizieaservis.sk/,Revizieaservis,"Dobrý deň. Páči sa mi, že v Revizieaservis sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 908 711 850,"Veča, Šaľa",Kúrenárske práce
29,Voda - plyn - kúrenie,https://vizgazfutes.ewk.hu/,Ewk,"Dobrý deň. Páči sa mi, že v Ewk sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 908 642 753,Komárno,Mechanik
30,Revízie Bratislava,http://www.revizieba.sk/,Revizieba,"Dobrý deň. Páči sa mi, že v Revizieba sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 910 681 668,Petržalka,Elektrikár
31,Molnár - revízia plynu,,Molnár,"Dobrý deň. Páči sa mi, že v Molnár sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 918 749 210,,Služba inštalácie plynu
32,Vzduchotechnika-shop.sk,https://vzduchotechnika-shop.sk/,Vzduchotechnika Shop,"Dobrý deň. Páči sa mi, že v Vzduchotechnika Shop sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 762 827,Mužla,Elektronické obchodovanie
33,AMEXX s.r.o.,https://amexx.sk/,Amexx,"Dobrý deň. Páči sa mi, že v Amexx sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 948 912 150,Mužla,Elektronické obchodovanie
34,IDEÁL Klíma,,IDEÁL Klíma,"Dobrý deň. Páči sa mi, že v IDEÁL Klíma sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 218 996,Mužla,
35,Coldex - Klimatizačná Technika,,Coldex,"Dobrý deň. Páči sa mi, že v Coldex sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 226 337,Štúrovo,Dodávateľ klimatizácií
36,Lokálna rekuperácia Blauberg,https://vzduchotechnika-shop.sk/rekuperatory-rekuperacia/rekuperatory-do-jednej-miestnosti,Vzduchotechnika Shop,"Dobrý deň. Páči sa mi, že v Vzduchotechnika Shop sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 040 498,Mužla,Dodávateľ vzduchotechniky
37,"ELEKTRO KLIMA NZ, s.r.o.",http://www.elektroklimanz.sk/,Elektroklimanz,"Dobrý deň. Páči sa mi, že v Elektroklimanz sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 35/642 10 86,"Dolná kapsa, Nové Zámky",Dodávateľ klimatizačných systémov
38,Rekuperácia,https://a-rekuperacia.sk/obchodne-podmienky.html,A Rekuperacia,"Dobrý deň. Páči sa mi, že v A Rekuperacia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 948 912 150,Mužla,
39,VZDUCHOTECHNIKA KLIMAC s.r.o.,http://www.klimac.sk/,Klimac,"Dobrý deň. Páči sa mi, že v Klimac sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 437 170,Bratislava,Dodávateľ klimatizácií
40,"Podlahovky , klimatizácia a rekuperácia",http://www.techpartner.sk/,Techpartner,"Dobrý deň. Páči sa mi, že v Techpartner sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 040 498,"Železničný rad, Štúrovo",Obchod s vykurovacími zariadeniami
41,AutoGál,http://www.autogal.sk/,Autogal,"Dobrý deň. Páči sa mi, že v Autogal sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 424 346,Štúrovo,Autoelektronický servis
42,AroCar Pneuservis,,AroCar Pneuservis,"Dobrý deň. Páči sa mi, že v AroCar Pneuservis sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 473 612,Svodín,Oprava a údržba automobilov
43,"O.K.R. motor, s.r.o.",,"O.K.R. motor,","Dobrý deň. Páči sa mi, že v O.K.R. motor, sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 420 512,Nána,Automobilový servis
44,RB Slovakia s.r.o.,,RB Slovakia,"Dobrý deň. Páči sa mi, že v RB Slovakia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 902 944 302,Bátorove Kosihy,Automobilový servis
45,I.T.-klimaservis s.r.o.,http://www.klimaservisit.sk/,Klimaservisit,"Dobrý deň. Páči sa mi, že v Klimaservisit sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 419 137,Marcelová,Dodávateľ klimatizácií
46,KTM Servis a Predaj,https://okrmoto.com/novinky,Okrmoto,"Dobrý deň. Páči sa mi, že v Okrmoto sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 420 513,Nána,Automobilový servis
47,Hunor Toma,http://www.hunor.sk/,Hunor,"Dobrý deň. Páči sa mi, že v Hunor sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 902 354 122,Nová Vieska,Konštrukcia striech
48,Chladenie a klimatizácie - PARTNER,http://www.chladenieaklimatizacie.sk/,Chladenieaklimatizacie,"Dobrý deň. Páči sa mi, že v Chladenieaklimatizacie sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 420 619,Dvory nad Žitavou,Dodávateľ klimatizácií
49,NEXT-Klimatizácie s.r.o.,https://www.klimatizaciadodomu.sk/,Klimatizaciadodomu,"Dobrý deň. Páči sa mi, že v Klimatizaciadodomu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 732 643,Nové Zámky,Obchod s klimatizáciami
50,HRN Garage,,HRN Garage,"Dobrý deň. Páči sa mi, že v HRN Garage sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,,Mužla,Automobilový servis
51,Klimatizácia - Intel-DOM,http://www.intel-dom.sk/,Intel Dom,"Dobrý deň. Páči sa mi, že v Intel Dom sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 940 369 169,Trebišov,Dodávateľ klimatizácií
52,GTA Klíma s.r.o.,http://shop.gtaklima.sk/,Gtaklima,"Dobrý deň. Páči sa mi, že v Gtaklima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 458 871,Nové Zámky,Obchod s klimatizáciami
53,"MAXKLÍMA - Predaj, montáž a servis klimatizácií",http://maxklima.eu/,Maxklima,"Dobrý deň. Páči sa mi, že v Maxklima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 114 224,Semerovo,Obchod s klimatizáciami
54,Klimatizačná ambulancia s.r.o.,http://klimaambulancia.sk/,Klimaambulancia,"Dobrý deň. Páči sa mi, že v Klimaambulancia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 445 865,Dvory nad Žitavou,Dodávateľ klimatizácií
55,Codex Trade s.r.o.,http://www.codextrade.sk/,Codextrade,"Dobrý deň. Páči sa mi, že v Codextrade sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 35/760 25 73,Hurbanovo,Obchod
56,Zoltán Šmíd-SMIDISERVICE,http://www.smidiservice.sk/,Smidiservice,"Dobrý deň. Páči sa mi, že v Smidiservice sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 713 325,Svodín,Dodávateľ klimatizácií
57,Zoltán Dombóvári DombiKlíma,http://www.dombiklima.sk/,Dombiklima,"Dobrý deň. Páči sa mi, že v Dombiklima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 477 283,Hurbanovo,Obchod s klimatizáciami
58,Kristián Tóth - SOLAR & KLIMA,,Kristián Tóth,"Dobrý deň. Páči sa mi, že v Kristián Tóth sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 918 274 246,Hurbanovo,Dodávateľ klimatizácií
59,IMPERIUM GROUP,https://www.imperiumgroup.sk/,Imperiumgroup,"Dobrý deň. Páči sa mi, že v Imperiumgroup sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 648 856,Chotín,Automobilový servis
60,Jachcemklimu.sk,https://jachcemklimu.sk/,Jachcemklimu,"Dobrý deň. Páči sa mi, že v Jachcemklimu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 405 633,,Dodávateľ klimatizácií
61,Csaba Simon-AUTOSERVIS,,Csaba Simon-AUTOSERVIS,"Dobrý deň. Páči sa mi, že v Csaba Simon-AUTOSERVIS sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 269 705,Marcelová,Oprava a údržba automobilov
62,Ladislav Trenčík AUTOSERVIS,,Ladislav Trenčík AUTOSERVIS,"Dobrý deň. Páči sa mi, že v Ladislav Trenčík AUTOSERVIS sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 130 505,Marcelová,Oprava a údržba automobilov
63,Procar Servis s.r.o.,http://www.procarservis.sk/,Procarservis,"Dobrý deň. Páči sa mi, že v Procarservis sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 915 647 266,Iža,Automobilový servis
64,Rekuperačka s.r.o.,http://www.rekuperacka.com/,Rekuperacka,"Dobrý deň. Páči sa mi, že v Rekuperacka sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 944 093 369,Galanta,Dodávateľ klimatizácií
65,TeploZima,http://www.teplozima.sk/,Teplozima,"Dobrý deň. Páči sa mi, že v Teplozima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 305 306,Bratislava,Obchod s klimatizáciami
66,Rekuperácia AERO SYSTEM,https://www.comair.sk/,Comair,"Dobrý deň. Páči sa mi, že v Comair sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 947 974 852,Stará Ľubovňa,Dodávateľ vzduchotechniky
67,lokalnerekuperacie.sk,https://www.lokalnerekuperacie.sk/,Lokalnerekuperacie,"Dobrý deň. Páči sa mi, že v Lokalnerekuperacie sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 948 914 440,Lučenec,Dodávateľ vzduchotechniky
68,Rekuperacia | Rekuperacia do domu | Rekuperacia rozvody | ReEL Instal s.r.o.,http://www.reelinstal.sk/,Reelinstal,"Dobrý deň. Páči sa mi, že v Reelinstal sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 612 661,Oravská Lesná-Brišovka,Dodávateľ vzduchotechniky
69,Tvojarekuperacia,http://tvojarekuperacia.sk/,Tvojarekuperacia,"Dobrý deň. Páči sa mi, že v Tvojarekuperacia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 992 582,Sedliská-Sedliska,Dodávateľ vzduchotechniky
70,RS-PROFI s.r.o.,http://www.profi-rekuperacia.sk/,Profi Rekuperacia,"Dobrý deň. Páči sa mi, že v Profi Rekuperacia sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 589 098,Liptovská Teplá,Dodávateľ vzduchotechniky
71,"RECUPA Systems, s.r.o.",http://www.recupasystems.sk/,Recupasystems,"Dobrý deň. Páči sa mi, že v Recupasystems sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 902 724 548,Oravská Polhora,Dodávateľ vzduchotechniky
72,Centrum rekuperacie ( Helios ),http://www.centrum-rekuperacie.sk/,Centrum Rekuperacie,"Dobrý deň. Páči sa mi, že v Centrum Rekuperacie sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 2/436 330 74,Bratislava,Firemná kancelária
73,TWG | energetický certifikát a rekuperácia,https://www.twg.sk/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,Twg,"Dobrý deň. Páči sa mi, že v Twg sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 640 055,Žilina,Energetické zariadenia a riešenia
74,Rekuperácia na mieru.sk,http://www.klimavent.sk/,Klimavent,"Dobrý deň. Páči sa mi, že v Klimavent sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 258 909,Námestovo,Dodávateľ klimatizácií
75,"EQUINOX, s.r.o.",http://www.equinox.sk/,Equinox,"Dobrý deň. Páči sa mi, že v Equinox sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 753 753,Banská Bystrica,Dodávateľ zariadení pre kúrenárov
76,Centrálne vysávače a rekuperácia BEZPRACHU,https://www.bezprachu.sk/,Bezprachu,"Dobrý deň. Páči sa mi, že v Bezprachu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 902 863 436,Veľký Lapáš,Dodávateľ vysávacích systémov
77,KlimaComfort,https://www.klimacomfort.sk/,Klimacomfort,"Dobrý deň. Páči sa mi, že v Klimacomfort sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 910 951 211,Marcelová,Dodávateľ klimatizácií
78,Chcemklimu - KLIMATIZÁCIE predaj a montáž,http://www.chcemklimu.sk/,Chcemklimu,"Dobrý deň. Páči sa mi, že v Chcemklimu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 622 857,Trnava,Dodávateľ klimatizácií
79,KlimaNR,http://www.klimanr.sk/,Klimanr,"Dobrý deň. Páči sa mi, že v Klimanr sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 343 582,Štitáre,Dodávateľ klimatizácií
80,Klimatizácie a Tepelné čerpadlá Levice Klima,https://levice-klima.sk/,Levice Klima,"Dobrý deň. Páči sa mi, že v Levice Klima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 580 490,Levice,Dodávateľ klimatizácií
81,KLIMA Komárno,http://www.danielservis.sk/,Danielservis,"Dobrý deň. Páči sa mi, že v Danielservis sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 425 425,,Dodávateľ klimatizácií
82,"ICEBERG LEVICE, s.r.o.",http://www.klimatizacielevice.sk/,Klimatizacielevice,"Dobrý deň. Páči sa mi, že v Klimatizacielevice sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 910 567 898,Levice,Dodávateľ klimatizácií
83,"MASTERKLIMA | Klimatizácie, tepelné čerpadlá, predaj, montáž a servis",https://www.masterklima.sk/,Masterklima,"Dobrý deň. Páči sa mi, že v Masterklima sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 949 057 616,Dunajská Streda,Dodávateľ klimatizácií
84,KlimaSmile,http://www.klimasmile.sk/,Klimasmile,"Dobrý deň. Páči sa mi, že v Klimasmile sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 616 669,Kozárovce,Dodávateľ klimatizácií
85,Klimatizácie - západ s. r. o.,http://klimatizacie-zapad.sk/,Klimatizacie Zapad,"Dobrý deň. Páči sa mi, že v Klimatizacie Zapad sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 918 400 770,Senica,Dodávateľ klimatizácií
86,Klimy.net - montáž a dodávka klimatizácií,http://www.klimy.net/,Klimy,"Dobrý deň. Páči sa mi, že v Klimy sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 984 449,Dúbravka,Dodávateľ klimatizácií
87,klimazm s.r.o.,https://www.klimazm.sk/,Klimazm,"Dobrý deň. Páči sa mi, že v Klimazm sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 558 881,Topoľčianky,Dodávateľ klimatizácií
88,Kupsiklimu.sk,https://www.kupsiklimu.sk/,Kupsiklimu,"Dobrý deň. Páči sa mi, že v Kupsiklimu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 811 101,Hurbanovo,Dodávateľ klimatizácií
89,Plynar Bratislava - Teššik Milan,http://www.plynar-bratislava.sk/,Plynar Bratislava,"Dobrý deň. Páči sa mi, že v Plynar Bratislava sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 904 605 080,Ružinov,Plynoinštalatér
90,Plynár - Hodinový Manžel ®,https://www.superplynar.sk/,Superplynar,"Dobrý deň. Páči sa mi, že v Superplynar sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 2/222 003 66,,Služba inštalácie plynu
91,MM- Voda-Plyn-Kúrenie,https://www.vodaplynkurenie.sk/,Vodaplynkurenie,"Dobrý deň. Páči sa mi, že v Vodaplynkurenie sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 925 834,Petržalka,Remeslá
92,Stanislav Valent - montáž UK a plyn s.r.o.,https://plyn-servis.wixsite.com/main,Wixsite,"Dobrý deň. Páči sa mi, že v Wixsite sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 117 335,Banská Bystrica,Servis vykurovacích zariadení
93,"Voda, plyn, kúrenie Banská Bystrica",https://www.voda-plyn-kurenie-bb.sk/,Voda Plyn Kurenie Bb,"Dobrý deň. Páči sa mi, že v Voda Plyn Kurenie Bb sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 48/290 17 64,Banská Bystrica,Plynárenská spoločnosť
94,Ján Kittler - Váš plynár,http://www.vasplynar.sk/,Vasplynar,"Dobrý deň. Páči sa mi, že v Vasplynar sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 121 591,,Plynoinštalatér
95,Plynár Bratislava,https://www.plynarba.sk/,Plynarba,"Dobrý deň. Páči sa mi, že v Plynarba sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 800 939 999,Rača,
96,"Tipeko, spol. S R.o.",,"Tipeko,","Dobrý deň. Páči sa mi, že v Tipeko, sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 37/652 88 81,Golianovo,
97,Plynári s. r. o.,,Plynári s. r. o.,"Dobrý deň. Páči sa mi, že v Plynári s. r. o. sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 438 493,Košice I,Kúrenárske práce
98,Plynári s. r. o.,https://plynari3.webnode.sk/,Webnode,"Dobrý deň. Páči sa mi, že v Webnode sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 911 830 286,Košice,
99,K+T Predaj LPG,,K+T Predaj LPG,"Dobrý deň. Páči sa mi, že v K+T Predaj LPG sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 47/563 11 49,Rimavská Sobota,Dodávateľ plynových bômb
100,Gabriel Rückschloss Montáž Plynu,,Gabriel Rückschloss Montáž Plynu,"Dobrý deň. Páči sa mi, že v Gabriel Rückschloss Montáž Plynu sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 45/692 92 58,Banská Štiavnica,Plynárenská spoločnosť
101,VODA | PLYN | KÚRENIE | Water-therm - Miloš Beluský,https://watertherm.sk/,Watertherm,"Dobrý deň. Páči sa mi, že v Watertherm sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 905 267 487,,Vodoinštalatér
102,Križan Andrej - TOP podlahár,,Križan Andrej,"Dobrý deň. Páči sa mi, že v Križan Andrej sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 908 601 572,Topoľčany,Obchod s podlahovými krytinami
103,Podlahári Kollári,,Podlahári Kollári,"Dobrý deň. Páči sa mi, že v Podlahári Kollári sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 950 698 476,Hoste,Podlahárske práce
104,Podlahar-chupo,http://www.podlahar-chupo.sk/,Podlahar Chupo,"Dobrý deň. Páči sa mi, že v Podlahar Chupo sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 907 319 861,"Kubrá, Trenčín",Podlahárske práce
105,Kvalitné podlahy Žilina,http://www.kvalitne-podlahy.sk/,Kvalitne Podlahy,"Dobrý deň. Páči sa mi, že v Kvalitne Podlahy sa venujete poskytovaniu kvalitných služieb a produktov pre Vašich zákazníkov.",,+421 903 506 518,Žilina,Obchod s podlahovými krytinami
