id,original_title,website,final_company_name,ai_first_sentence,email,phone,city,category
36,Lokálna rekuperácia Blauberg,https://vzduchotechnika-shop.sk/rekuperatory-rekuperacia/rekuperatory-do-jednej-miestnosti,Vzduchotechnika Shop,"Dobrý deň. Páči sa mi, že v Vzduchotechnika Shop sa špecializujete na inovatívne systémy rekuperácie tepla.",,+421 904 040 498,Mužla,Dodávateľ vzduchotechniky
37,"ELEKTRO KLIMA NZ, s.r.o.",http://www.elektroklimanz.sk/,Elektroklimanz,"Dobrý deň. Páči sa mi, že v Elektroklimanz sa špecializujete na poskytovanie komplexných riešení v oblasti klimatizácie a.",,+421 35/642 10 86,"Dolná kapsa, Nové Zámky",Dodávateľ klimatizačných systémov
38,Rekuperácia,https://a-rekuperacia.sk/obchodne-podmienky.html,A Rekuperacia,"Dobrý deň. Páči sa mi, že v A Rekuperacia pôsobíte v sektore oblasti služieb.",,+421 948 912 150,Mužla,
39,VZDUCHOTECHNIKA KLIMAC s.r.o.,http://www.klimac.sk/,Klimac,"Dobrý deň. Páči sa mi, že v Klimac sa zameriavate na poskytovanie jedinečných riešení pre domácnosti.",,+421 903 437 170,Bratislava,Dodávateľ klimatizácií
40,"Podlahovky , klimatizácia a rekuperácia",http://www.techpartner.sk/,Techpartner,"Dobrý deň. Páči sa mi, že v Techpartner zaisťujete pohodlné a zdravé prostredie pre obyvateľov.",,+421 904 040 498,"Železničný rad, Štúrovo",Obchod s vykurovacími zariadeniami
41,AutoGál,http://www.autogal.sk/,Autogal,"Dobrý deň. Páči sa mi, že v Autogal sa špecializujete na opravy autoelektriky so zameraním na štartéry a.",,+421 905 424 346,Štúrovo,Autoelektronický servis
42,AroCar Pneuservis,,AroCar Pneuservis,"Dobrý deň. Páči sa mi, že v AroCar Pneuservis pôsobíte v sektore Oprava a údržba automobilov.",,+421 950 473 612,Svodín,Oprava a údržba automobilov
43,"O.K.R. motor, s.r.o.",,"O.K.R. motor,","Dobrý deň. Páči sa mi, že v O.K.R. motor, poskytujete servisné služby.",,+421 905 420 512,Nána,Automobilový servis
44,RB Slovakia s.r.o.,,RB Slovakia,"Dobrý deň. Páči sa mi, že v RB Slovakia poskytujete servisné služby.",,+421 902 944 302,Bátorove Kosihy,Automobilový servis
45,I.T.-klimaservis s.r.o.,http://www.klimaservisit.sk/,Klimaservisit,"Dobrý deň. Páči sa mi, že v Klimaservisit sa špecializujete na odbornú montáž.",,+421 949 419 137,Marcelová,Dodávateľ klimatizácií
46,KTM Servis a Predaj,https://okrmoto.com/novinky,Okrmoto,"Dobrý deň. Páči sa mi, že v Okrmoto poskytujete servisné služby.",,+421 905 420 513,Nána,Automobilový servis
47,Hunor Toma,http://www.hunor.sk/,Hunor,"Dobrý deň. Páči sa mi, že v Hunor sa zameriavate na výškové práce vykonávané pomocou horolezeckej techniky po.",,+421 902 354 122,Nová Vieska,Konštrukcia striech
48,Chladenie a klimatizácie - PARTNER,http://www.chladenieaklimatizacie.sk/,Chladenieaklimatizacie,"Dobrý deň. Páči sa mi, že v Chladenieaklimatizacie sa zameriavate na poskytovanie komplexných riešení v oblasti klimatizácie a.",,+421 905 420 619,Dvory nad Žitavou,Dodávateľ klimatizácií
49,NEXT-Klimatizácie s.r.o.,https://www.klimatizaciadodomu.sk/,Klimatizaciadodomu,"Dobrý deň. Páči sa mi, že v Klimatizaciadodomu sa špecializujete na poskytovanie kvalitných klimatizačných riešení.",,+421 950 732 643,Nové Zámky,Obchod s klimatizáciami
50,HRN Garage,,HRN Garage,"Dobrý deň. Páči sa mi, že v HRN Garage poskytujete servisné služby.",,,Mužla,Automobilový servis
51,Klimatizácia - Intel-DOM,http://www.intel-dom.sk/,Intel Dom,"Dobrý deň. Páči sa mi, že v Intel Dom pôsobíte v sektore Dodávateľ klimatizácií.",,+421 940 369 169,Trebišov,Dodávateľ klimatizácií
52,GTA Klíma s.r.o.,http://shop.gtaklima.sk/,Gtaklima,"Dobrý deň. Páči sa mi, že v Gtaklima pôsobíte v sektore Obchod s klimatizáciami.",,+421 905 458 871,Nové Zámky,Obchod s klimatizáciami
53,"MAXKLÍMA - Predaj, montáž a servis klimatizácií",http://maxklima.eu/,Maxklima,"Dobrý deň. Páči sa mi, že v Maxklima sa špecializujete na predaj.",,+421 911 114 224,Semerovo,Obchod s klimatizáciami
54,Klimatizačná ambulancia s.r.o.,http://klimaambulancia.sk/,Klimaambulancia,"Dobrý deň. Páči sa mi, že v Klimaambulancia ponúkate široký sortiment klimatizačných zariadení.",,+421 949 445 865,Dvory nad Žitavou,Dodávateľ klimatizácií
55,Codex Trade s.r.o.,http://www.codextrade.sk/,Codextrade,"Dobrý deň. Páči sa mi, že v Codextrade sa špecializujete sa na distribúciu technických plastov a priemyselných komponentov.",,+421 35/760 25 73,Hurbanovo,Obchod
56,Zoltán Šmíd-SMIDISERVICE,http://www.smidiservice.sk/,Smidiservice,"Dobrý deň. Páči sa mi, že v Smidiservice sa špecializujete na predaj.",,+421 905 713 325,Svodín,Dodávateľ klimatizácií
57,Zoltán Dombóvári DombiKlíma,http://www.dombiklima.sk/,Dombiklima,"Dobrý deň. Páči sa mi, že v Dombiklima sa špecializujete na poskytovanie klimatizačných riešení.",,+421 903 477 283,Hurbanovo,Obchod s klimatizáciami
58,Kristián Tóth - SOLAR & KLIMA,,Kristián Tóth,"Dobrý deň. Páči sa mi, že v Kristián Tóth pôsobíte v sektore Dodávateľ klimatizácií.",,+421 918 274 246,Hurbanovo,Dodávateľ klimatizácií
59,IMPERIUM GROUP,https://www.imperiumgroup.sk/,Imperiumgroup,"Dobrý deň. Páči sa mi, že v Imperiumgroup poskytujete servisné služby.",,+421 904 648 856,Chotín,Automobilový servis
60,Jachcemklimu.sk,https://jachcemklimu.sk/,Jachcemklimu,"Dobrý deň. Páči sa mi, že v Jachcemklimu pôsobíte v sektore Dodávateľ klimatizácií.",,+421 950 405 633,,Dodávateľ klimatizácií
61,Csaba Simon-AUTOSERVIS,,Csaba Simon-AUTOSERVIS,"Dobrý deň. Páči sa mi, že v Csaba Simon-AUTOSERVIS pôsobíte v sektore Oprava a údržba automobilov.",,+421 905 269 705,Marcelová,Oprava a údržba automobilov
62,Ladislav Trenčík AUTOSERVIS,,Ladislav Trenčík AUTOSERVIS,"Dobrý deň. Páči sa mi, že v Ladislav Trenčík AUTOSERVIS pôsobíte v sektore Oprava a údržba automobilov.",,+421 907 130 505,Marcelová,Oprava a údržba automobilov
63,Procar Servis s.r.o.,http://www.procarservis.sk/,Procarservis,"Dobrý deň. Páči sa mi, že v Procarservis poskytujete servisné služby.",,+421 915 647 266,Iža,Automobilový servis
64,Rekuperačka s.r.o.,http://www.rekuperacka.com/,Rekuperacka,"Dobrý deň. Páči sa mi, že v Rekuperacka sa špecializujete na predaj a montáž systémov rekuperácie vzduchu.",,+421 944 093 369,Galanta,Dodávateľ klimatizácií
65,TeploZima,http://www.teplozima.sk/,Teplozima,"Dobrý deň. Páči sa mi, že v Teplozima sa špecializujete na predaj a montáž klimatizácií a tepelných čerpadiel.",,+421 905 305 306,Bratislava,Obchod s klimatizáciami
66,Rekuperácia AERO SYSTEM,https://www.comair.sk/,Comair,"Dobrý deň. Páči sa mi, že v Comair sa zameriavate na efektívne systémy.",,+421 947 974 852,Stará Ľubovňa,Dodávateľ vzduchotechniky
67,lokalnerekuperacie.sk,https://www.lokalnerekuperacie.sk/,Lokalnerekuperacie,"Dobrý deň. Páči sa mi, že v Lokalnerekuperacie pôsobíte v sektore Dodávateľ vzduchotechniky.",,+421 948 914 440,Lučenec,Dodávateľ vzduchotechniky
68,Rekuperacia | Rekuperacia do domu | Rekuperacia rozvody | ReEL Instal s.r.o.,http://www.reelinstal.sk/,Reelinstal,"Dobrý deň. Páči sa mi, že v Reelinstal poskytujete individuálny prístup a prispôsobené riešenia pre každého zákazníka.",,+421 949 612 661,Oravská Lesná-Brišovka,Dodávateľ vzduchotechniky
69,Tvojarekuperacia,http://tvojarekuperacia.sk/,Tvojarekuperacia,"Dobrý deň. Páči sa mi, že v Tvojarekuperacia sa zameriavate na poskytovanie inovatívnych riešení v oblasti centrálnej a.",,+421 907 992 582,Sedliská-Sedliska,Dodávateľ vzduchotechniky
70,RS-PROFI s.r.o.,http://www.profi-rekuperacia.sk/,Profi Rekuperacia,"Dobrý deň. Páči sa mi, že v Profi Rekuperacia sa špecializujete na montáž rekuperácie pre rodinné domy.",,+421 950 589 098,Liptovská Teplá,Dodávateľ vzduchotechniky
71,"RECUPA Systems, s.r.o.",http://www.recupasystems.sk/,Recupasystems,"Dobrý deň. Páči sa mi, že v Recupasystems pôsobíte v sektore Dodávateľ vzduchotechniky.",,+421 902 724 548,Oravská Polhora,Dodávateľ vzduchotechniky
72,Centrum rekuperacie ( Helios ),http://www.centrum-rekuperacie.sk/,Centrum Rekuperacie,"Dobrý deň. Páči sa mi, že v Centrum Rekuperacie ponúkate široké spektrum riešení pre efektívne vetranie s rekuperáciou.",,+421 2/436 330 74,Bratislava,Firemná kancelária
73,TWG | energetický certifikát a rekuperácia,https://www.twg.sk/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,Twg,"Dobrý deň. Páči sa mi, že v Twg sa špecializujete na poskytovanie komplexných služieb v oblasti energetických úspor.",,+421 911 640 055,Žilina,Energetické zariadenia a riešenia
74,Rekuperácia na mieru.sk,http://www.klimavent.sk/,Klimavent,"Dobrý deň. Páči sa mi, že v Klimavent sa zaoberáte poskytovaním inovatívnych riešení v oblasti riadeného vetrania a.",,+421 911 258 909,Námestovo,Dodávateľ klimatizácií
75,"EQUINOX, s.r.o.",http://www.equinox.sk/,Equinox,"Dobrý deň. Páči sa mi, že v Equinox poskytujete široké spektrum služieb od odborného poradenstva.",,+421 905 753 753,Banská Bystrica,Dodávateľ zariadení pre kúrenárov
76,Centrálne vysávače a rekuperácia BEZPRACHU,https://www.bezprachu.sk/,Bezprachu,"Dobrý deň. Páči sa mi, že v Bezprachu sa špecializujete na predaj centrálnych vysávačov a poskytuje inovativne riešenia.",,+421 902 863 436,Veľký Lapáš,Dodávateľ vysávacích systémov
77,KlimaComfort,https://www.klimacomfort.sk/,Klimacomfort,"Dobrý deň. Páči sa mi, že v Klimacomfort sa špecializujete na poskytovanie kvalitných klimatizačných riešení pre domácnosti a.",,+421 910 951 211,Marcelová,Dodávateľ klimatizácií
78,Chcemklimu - KLIMATIZÁCIE predaj a montáž,http://www.chcemklimu.sk/,Chcemklimu,"Dobrý deň. Páči sa mi, že v Chcemklimu pôsobíte v sektore Dodávateľ klimatizácií.",,+421 904 622 857,Trnava,Dodávateľ klimatizácií
79,KlimaNR,http://www.klimanr.sk/,Klimanr,"Dobrý deň. Páči sa mi, že v Klimanr sa špecializujete na predaj.",,+421 907 343 582,Štitáre,Dodávateľ klimatizácií
80,Klimatizácie a Tepelné čerpadlá Levice Klima,https://levice-klima.sk/,Levice Klima,"Dobrý deň. Páči sa mi, že v Levice Klima ponúkate komplexné služby v oblasti montáže.",,+421 950 580 490,Levice,Dodávateľ klimatizácií
81,KLIMA Komárno,http://www.danielservis.sk/,Danielservis,"Dobrý deň. Páči sa mi, že v Danielservis sa zaoberáte komplexnými riešeniami v oblasti klimatizácií.",,+421 905 425 425,,Dodávateľ klimatizácií
82,"ICEBERG LEVICE, s.r.o.",http://www.klimatizacielevice.sk/,Klimatizacielevice,"Dobrý deň. Páči sa mi, že v Klimatizacielevice pôsobíte v sektore Dodávateľ klimatizácií.",,+421 910 567 898,Levice,Dodávateľ klimatizácií
83,"MASTERKLIMA | Klimatizácie, tepelné čerpadlá, predaj, montáž a servis",https://www.masterklima.sk/,Masterklima,"Dobrý deň. Páči sa mi, že v Masterklima sa špecializujete na predaj.",,+421 949 057 616,Dunajská Streda,Dodávateľ klimatizácií
84,KlimaSmile,http://www.klimasmile.sk/,Klimasmile,"Dobrý deň. Páči sa mi, že v Klimasmile sa špecializujete na montáž a servis klimatizácií a rekuperácií.",,+421 907 616 669,Kozárovce,Dodávateľ klimatizácií
85,Klimatizácie - západ s. r. o.,http://klimatizacie-zapad.sk/,Klimatizacie Zapad,"Dobrý deň. Páči sa mi, že v Klimatizacie Zapad sa zameriavate na poskytovanie komplexných služieb v oblasti montáže a.",,+421 918 400 770,Senica,Dodávateľ klimatizácií
86,Klimy.net - montáž a dodávka klimatizácií,http://www.klimy.net/,Klimy,"Dobrý deň. Páči sa mi, že v Klimy sa špecializujete na predaj.",,+421 911 984 449,Dúbravka,Dodávateľ klimatizácií
87,klimazm s.r.o.,https://www.klimazm.sk/,Klimazm,"Dobrý deň. Páči sa mi, že v Klimazm sa zaoberáte komplexným riešením v oblasti klimatizácie a tepelných čerpadiel.",,+421 911 558 881,Topoľčianky,Dodávateľ klimatizácií
88,Kupsiklimu.sk,https://www.kupsiklimu.sk/,Kupsiklimu,"Dobrý deň. Páči sa mi, že v Kupsiklimu ponúkate široký sortiment klimatizačných jednotiek.",,+421 905 811 101,Hurbanovo,Dodávateľ klimatizácií
89,Plynar Bratislava - Teššik Milan,http://www.plynar-bratislava.sk/,Plynar,"Dobrý deň. Páči sa mi, že v Plynar sa špecializujete aj na ďalšie služby.",,+421 904 605 080,Ružinov,Plynoinštalatér
90,Plynár - Hodinový Manžel ®,https://www.superplynar.sk/,Superplynar,"Dobrý deň. Páči sa mi, že v Superplynar sa zameriavate na modernizáciu systémov a zavádzanie inovatívnych riešení v.",,+421 2/222 003 66,,Služba inštalácie plynu
91,MM- Voda-Plyn-Kúrenie,https://www.vodaplynkurenie.sk/,Vodaplynkurenie,"Dobrý deň. Páči sa mi, že v Vodaplynkurenie sa špecializujete na profesionálne služby v oblasti revízií.",,+421 911 925 834,Petržalka,Remeslá
92,Stanislav Valent - montáž UK a plyn s.r.o.,https://plyn-servis.wixsite.com/main,Wixsite,"Dobrý deň. Páči sa mi, že v Wixsite poskytujete kompletné služby v oblasti servisu a montáže plynových.",,+421 903 117 335,Banská Bystrica,Servis vykurovacích zariadení
93,"Voda, plyn, kúrenie Banská Bystrica",https://www.voda-plyn-kurenie-bb.sk/,Voda Plyn Kurenie Bb,"Dobrý deň. Páči sa mi, že v Voda Plyn Kurenie Bb pôsobíte v sektore Plynárenská spoločnosť.",,+421 48/290 17 64,Banská Bystrica,Plynárenská spoločnosť
94,Ján Kittler - Váš plynár,http://www.vasplynar.sk/,Vasplynar,"Dobrý deň. Páči sa mi, že v Vasplynar sa venujete inštaláciám a servisu plynových zariadení.",,+421 903 121 591,,Plynoinštalatér
95,Plynár Bratislava,https://www.plynarba.sk/,Plynarba,"Dobrý deň. Páči sa mi, že v Plynarba pôsobíte v sektore oblasti služieb.",,+421 800 939 999,Rača,
96,"Tipeko, spol. S R.o.",,"Tipeko,","Dobrý deň. Páči sa mi, že v Tipeko, pôsobíte v sektore oblasti služieb.",,+421 37/652 88 81,Golianovo,
97,Plynári s. r. o.,,Plynári s. r. o.,"Dobrý deň. Páči sa mi, že v Plynári s. r. o. sa venujete kúrenárskym prácam a inštaláciám.",,+421 905 438 493,Košice I,Kúrenárske práce
98,Plynári s. r. o.,https://plynari3.webnode.sk/,Webnode,"Dobrý deň. Páči sa mi, že v Webnode sa zameriavate na poskytovanie kvalitného servisu v oblasti plynových služieb.",,+421 911 830 286,Košice,
99,K+T Predaj LPG,,K+T Predaj LPG,"Dobrý deň. Páči sa mi, že v K+T Predaj LPG pôsobíte v sektore Dodávateľ plynových bômb.",,+421 47/563 11 49,Rimavská Sobota,Dodávateľ plynových bômb
100,Gabriel Rückschloss Montáž Plynu,,Gabriel Rückschloss Montáž Plynu,"Dobrý deň. Páči sa mi, že v Gabriel Rückschloss Montáž Plynu pôsobíte v sektore Plynárenská spoločnosť.",,+421 45/692 92 58,Banská Štiavnica,Plynárenská spoločnosť
101,VODA | PLYN | KÚRENIE | Water-therm - Miloš Beluský,https://watertherm.sk/,Watertherm,"Dobrý deň. Páči sa mi, že v Watertherm sa špecializujete na komplexné riešenia v oblasti vodoinštalatérstva.",,+421 905 267 487,,Vodoinštalatér
102,Križan Andrej - TOP podlahár,,Križan Andrej,"Dobrý deň. Páči sa mi, že v Križan Andrej pôsobíte v sektore Obchod s podlahovými krytinami.",,+421 908 601 572,Topoľčany,Obchod s podlahovými krytinami
103,Podlahári Kollári,,Podlahári Kollári,"Dobrý deň. Páči sa mi, že v Podlahári Kollári pôsobíte v sektore Podlahárske práce.",,+421 950 698 476,Hoste,Podlahárske práce
104,Podlahar-chupo,http://www.podlahar-chupo.sk/,Podlahar Chupo,"Dobrý deň. Páči sa mi, že v Podlahar Chupo sa špecializujete na kvalitné realizácie parkiet.",,+421 907 319 861,"Kubrá, Trenčín",Podlahárske práce
105,Kvalitné podlahy Žilina,http://www.kvalitne-podlahy.sk/,Kvalitne Podlahy,"Dobrý deň. Páči sa mi, že v Kvalitne Podlahy pôsobíte v sektore Obchod s podlahovými krytinami.",,+421 903 506 518,Žilina,Obchod s podlahovými krytinami
106,Anton Budzák - Majster podlahár,http://www.facebook.com/majster.podlahar,Anton Budzák,"Dobrý deň. Páči sa mi, že v Anton Budzák sa špecializujete na poskytovanie kvalitných a profesionálnych podlahárskych služieb.",,+421 903 127 081,Smižany,Podlahárske práce
107,Najlacnejšie podlahy,https://www.najlacnejsiepodlahy.sk/,Najlacnejsiepodlahy,"Dobrý deň. Páči sa mi, že v Najlacnejsiepodlahy pôsobíte v sektore Nákupné centrum.",,+421 940 515 715,Banská Bystrica,Nákupné centrum
108,PODLAHY - MEGA Parket s.r.o.,http://www.kupsipodlahu.sk/,Kupsipodlahu,"Dobrý deň. Páči sa mi, že v Kupsipodlahu sa špecializujete na predaj a montáž rôznych typov podláh.",,+421 903 290 890,Bratislava,Obchod
109,"Parkety, podlaha Košice - Jiří Nedviď",http://www.parketynedvid.sk/,Parketynedvid,"Dobrý deň. Páči sa mi, že v Parketynedvid pôsobíte v sektore Profesionálne služby.",,+421 55/233 37 77,Košice - mestská časť Západ,Profesionálne služby
110,"PARKETT STORE, s.r.o.",http://www.parkettstore.sk/,Parkettstore,"Dobrý deň. Páči sa mi, že v Parkettstore sa zameriavate na kvalitné a inovácie v oblasti podláh.",,+421 948 987 808,Petržalka,Obchod s podlahovými krytinami
111,"ProPodlahy, s.r.o.",http://www.propodlahy.sk/,Propodlahy,"Dobrý deň. Páči sa mi, že v Propodlahy sa špecializujete na komplexné riešenia podlahových krytín a exteriérových prvkov.",,+421 904 192 550,Poprad,Obchod s podlahovými krytinami
112,Uniparkett,http://www.uniparkett.sk/,Uniparkett,"Dobrý deň. Páči sa mi, že v Uniparkett sa špecializujete na poskytovanie kvalitných podlahových riešení pre moderné domácnosti.",,+421 47/432 05 33,"Priemyselný obvod I, Lučenec",Stavebniny
113,Marek Lastovička - interiérové podlahy a zámková dlažba,http://www.facebook.com/dlazbalastovicka,Marek Lastovička,"Dobrý deň. Páči sa mi, že v Marek Lastovička sa špecializujete na interiérové podlahy a zámkovú dlažbu.",,+421 948 867 310,Trnava,Stavebná firma
114,SVET DREVA s.r.o.,http://www.svetdreva.sk/,Svetdreva,"Dobrý deň. Páči sa mi, že v Svetdreva sa špecializujete na predaj a inštaláciu širokého sortimentu kvalitných drevených.",,+421 904 140 510,Báb,Obchod s podlahovými krytinami
115,"COLOUR - WOOD, s.r.o.",http://www.colourwood.sk/,Colourwood,"Dobrý deň. Páči sa mi, že v Colourwood sa špecializujete na dodávku a montáž kvalitných interiérových dverí a.",,+421 35/642 01 88,Nové Zámky,Obchod s podlahovými krytinami
