title,company_name_reworked,website,phone,city,category,abstract,ai_first_sentence
V-K-Plyn,V-K-Plyn,https://v-k-plyn.sk/,+421 904 137 502,,Kúrenárske práce,,
Nyári Ján,NYÁRI,http://www.nyari.sk/,+421 905 666 551,Dubník,Vodoinštalatér,,
Gasrev s.r.o.,Gasrev,https://gasrev.sk/,+421 915 300 345,Košice,Plynoinštalatér,,
Revízny technik - východ,Revízny technik,https://www.reviznytechnik-vychod.sk/,+421 919 141 487,,Služba inštalácie plynu,,
REVÍZIE PLYNU a plynových zariadení,REVÍZIE PLYNU a plynových zariadení,,+421 940 225 747,Žilina,Plynoinštalatér,,
Revízie a servis s.r.o.,Revízie a servis,http://www.revizieaservis.sk/,+421 908 711 850,"Veča, Šaľa",Kúrenárske práce,,
Voda - plyn - kúrenie,Voda,https://vizgazfutes.ewk.hu/,+421 908 642 753,Komárno,Mechanik,,
Revízie Bratislava,Revízie Bratislava,http://www.revizieba.sk/,+421 910 681 668,Petržalka,Elektrikár,,
Molnár - revízia plynu,Molnár,,+421 918 749 210,,Služba inštalácie plynu,,
Vzduchotechnika-shop.sk,Vzduchotechnika-shop,https://vzduchotechnika-shop.sk/,+421 949 762 827,Mužla,Elektronické obchodovanie,,
AMEXX s.r.o.,AMEXX,https://amexx.sk/,+421 948 912 150,Mužla,Elektronické obchodovanie,,
IDEÁL Klíma,IDEÁL,,+421 911 218 996,Mužla,,,
Coldex - Klimatizačná Technika,Coldex,,+421 903 226 337,Štúrovo,Dodávateľ klimatizácií,,
Lokálna rekuperácia Blauberg,Lokálna rekuperácia Blauberg,https://vzduchotechnika-shop.sk/rekuperatory-rekuperacia/rekuperatory-do-jednej-miestnosti,+421 904 040 498,Mužla,Dodávateľ vzduchotechniky,,
"ELEKTRO KLIMA NZ, s.r.o.",ELEKTRO,http://www.elektroklimanz.sk/,+421 35/642 10 86,"Dolná kapsa, Nové Zámky",Dodávateľ klimatizačných systémov,,
Rekuperácia,Rekuperácia,https://a-rekuperacia.sk/obchodne-podmienky.html,+421 948 912 150,Mužla,,,
VZDUCHOTECHNIKA KLIMAC s.r.o.,VZDUCHOTECHNIKA KLIMAC,http://www.klimac.sk/,+421 903 437 170,Bratislava,Dodávateľ klimatizácií,,
"Podlahovky , klimatizácia a rekuperácia","Podlahovky , klimatizácia a rekuperácia",http://www.techpartner.sk/,+421 904 040 498,"Železničný rad, Štúrovo",Obchod s vykurovacími zariadeniami,,
AutoGál,AutoGál,http://www.autogal.sk/,+421 905 424 346,Štúrovo,Autoelektronický servis,,
AroCar Pneuservis,AroCar Pneuservis,,+421 950 473 612,Svodín,Oprava a údržba automobilov,,
"O.K.R. motor, s.r.o.",O.K.R. motor,,+421 905 420 512,Nána,Automobilový servis,,
RB Slovakia s.r.o.,RB,,+421 902 944 302,Bátorove Kosihy,Automobilový servis,,
I.T.-klimaservis s.r.o.,I.T.-klimaservis,http://www.klimaservisit.sk/,+421 949 419 137,Marcelová,Dodávateľ klimatizácií,,
KTM Servis a Predaj,KTM,https://okrmoto.com/novinky,+421 905 420 513,Nána,Automobilový servis,,
Hunor Toma,HUNOR,http://www.hunor.sk/,+421 902 354 122,Nová Vieska,Konštrukcia striech,,
Chladenie a klimatizácie - PARTNER,Chladenie a klimatizácie,http://www.chladenieaklimatizacie.sk/,+421 905 420 619,Dvory nad Žitavou,Dodávateľ klimatizácií,,
NEXT-Klimatizácie s.r.o.,NEXT-Klimatizácie,https://www.klimatizaciadodomu.sk/,+421 950 732 643,Nové Zámky,Obchod s klimatizáciami,,
HRN Garage,HRN,,,Mužla,Automobilový servis,,
Klimatizácia - Intel-DOM,Klimatizácia,http://www.intel-dom.sk/,+421 940 369 169,Trebišov,Dodávateľ klimatizácií,,
GTA Klíma s.r.o.,GTA,http://shop.gtaklima.sk/,+421 905 458 871,Nové Zámky,Obchod s klimatizáciami,,
"MAXKLÍMA - Predaj, montáž a servis klimatizácií",MAXKLÍMA,http://maxklima.eu/,+421 911 114 224,Semerovo,Obchod s klimatizáciami,,
Klimatizačná ambulancia s.r.o.,Klimatizačná ambulancia,http://klimaambulancia.sk/,+421 949 445 865,Dvory nad Žitavou,Dodávateľ klimatizácií,,
Codex Trade s.r.o.,CODEX,http://www.codextrade.sk/,+421 35/760 25 73,Hurbanovo,Obchod,,
Zoltán Šmíd-SMIDISERVICE,Zoltán Šmíd-SMIDISERVICE,http://www.smidiservice.sk/,+421 905 713 325,Svodín,Dodávateľ klimatizácií,,
Zoltán Dombóvári DombiKlíma,Zoltán Dombóvári DombiKlíma,http://www.dombiklima.sk/,+421 903 477 283,Hurbanovo,Obchod s klimatizáciami,,
Kristián Tóth - SOLAR & KLIMA,Kristián Tóth,,+421 918 274 246,Hurbanovo,Dodávateľ klimatizácií,,
IMPERIUM GROUP,IMPERIUM GROUP,https://www.imperiumgroup.sk/,+421 904 648 856,Chotín,Automobilový servis,,
Jachcemklimu.sk,Jachcemklimu,https://jachcemklimu.sk/,+421 950 405 633,,Dodávateľ klimatizácií,,
Csaba Simon-AUTOSERVIS,CSABA,,+421 905 269 705,Marcelová,Oprava a údržba automobilov,,
Ladislav Trenčík AUTOSERVIS,Ladislav Trenčík AUTOSERVIS,,+421 907 130 505,Marcelová,Oprava a údržba automobilov,,
Procar Servis s.r.o.,PROCAR,http://www.procarservis.sk/,+421 915 647 266,Iža,Automobilový servis,,
Rekuperačka s.r.o.,Rekuperačka,http://www.rekuperacka.com/,+421 944 093 369,Galanta,Dodávateľ klimatizácií,,
TeploZima,TeploZima,http://www.teplozima.sk/,+421 905 305 306,Bratislava,Obchod s klimatizáciami,,
Rekuperácia AERO SYSTEM,Rekuperácia AERO SYSTEM,https://www.comair.sk/,+421 947 974 852,Stará Ľubovňa,Dodávateľ vzduchotechniky,,
lokalnerekuperacie.sk,lokalnerekuperacie,https://www.lokalnerekuperacie.sk/,+421 948 914 440,Lučenec,Dodávateľ vzduchotechniky,,
Rekuperacia | Rekuperacia do domu | Rekuperacia rozvody | ReEL Instal s.r.o.,Rekuperacia,http://www.reelinstal.sk/,+421 949 612 661,Oravská Lesná-Brišovka,Dodávateľ vzduchotechniky,,
Tvojarekuperacia,Tvojarekuperacia,http://tvojarekuperacia.sk/,+421 907 992 582,Sedliská-Sedliska,Dodávateľ vzduchotechniky,,
RS-PROFI s.r.o.,RS-PROFI,http://www.profi-rekuperacia.sk/,+421 950 589 098,Liptovská Teplá,Dodávateľ vzduchotechniky,,
"RECUPA Systems, s.r.o.",RECUPA Systems,http://www.recupasystems.sk/,+421 902 724 548,Oravská Polhora,Dodávateľ vzduchotechniky,,
Centrum rekuperacie ( Helios ),Centrum rekuperacie ( Helios ),http://www.centrum-rekuperacie.sk/,+421 2/436 330 74,Bratislava,Firemná kancelária,,
TWG | energetický certifikát a rekuperácia,TWG,https://www.twg.sk/?utm_source=google&utm_medium=organic&utm_campaign=businessprofile,+421 911 640 055,Žilina,Energetické zariadenia a riešenia,,
Rekuperácia na mieru.sk,Rekuperácia na mieru,http://www.klimavent.sk/,+421 911 258 909,Námestovo,Dodávateľ klimatizácií,,
"EQUINOX, s.r.o.",EQUINOX,http://www.equinox.sk/,+421 905 753 753,Banská Bystrica,Dodávateľ zariadení pre kúrenárov,,
Centrálne vysávače a rekuperácia BEZPRACHU,Centrálne vysávače a rekuperácia BEZPRACHU,https://www.bezprachu.sk/,+421 902 863 436,Veľký Lapáš,Dodávateľ vysávacích systémov,,
Rekuperácia,Rekuperácia,https://a-rekuperacia.sk/obchodne-podmienky.html,+421 2 16 877,Ivanka pri Dunaji,Dodávateľ klimatizácií,,
Norbert Donovan - Klimatizácie - Predaj a montáž,Norbert Donovan,http://www.smidiservice.sk/,+421 915 441 670,Kamenica nad Hronom,Dodávateľ klimatizácií,,
KlimaComfort,KlimaComfort,https://www.klimacomfort.sk/,+421 910 951 211,Marcelová,Dodávateľ klimatizácií,,
Chcemklimu - KLIMATIZÁCIE predaj a montáž,Chcemklimu,http://www.chcemklimu.sk/,+421 904 622 857,Trnava,Dodávateľ klimatizácií,,
KlimaNR,KlimaNR,http://www.klimanr.sk/,+421 907 343 582,Štitáre,Dodávateľ klimatizácií,,
Klimatizácie a Tepelné čerpadlá Levice Klima,Klimatizácie a Tepelné čerpadlá Levice Klima,https://levice-klima.sk/,+421 950 580 490,Levice,Dodávateľ klimatizácií,,
KLIMA Komárno,KLIMA,http://www.danielservis.sk/,+421 905 425 425,,Dodávateľ klimatizácií,,
"ICEBERG LEVICE, s.r.o.",ICEBERG LEVICE,http://www.klimatizacielevice.sk/,+421 910 567 898,Levice,Dodávateľ klimatizácií,,
"MASTERKLIMA | Klimatizácie, tepelné čerpadlá, predaj, montáž a servis",MASTERKLIMA,https://www.masterklima.sk/,+421 949 057 616,Dunajská Streda,Dodávateľ klimatizácií,,
KlimaSmile,KlimaSmile,http://www.klimasmile.sk/,+421 907 616 669,Kozárovce,Dodávateľ klimatizácií,,
Klimatizácie - západ s. r. o.,Klimatizácie,http://klimatizacie-zapad.sk/,+421 918 400 770,Senica,Dodávateľ klimatizácií,,
Klimy.net - montáž a dodávka klimatizácií,Klimy,http://www.klimy.net/,+421 911 984 449,Dúbravka,Dodávateľ klimatizácií,,
klimazm s.r.o.,klimazm,https://www.klimazm.sk/,+421 911 558 881,Topoľčianky,Dodávateľ klimatizácií,,
Kupsiklimu.sk,Kupsiklimu,https://www.kupsiklimu.sk/,+421 905 811 101,Hurbanovo,Dodávateľ klimatizácií,,
Plynar Bratislava - Teššik Milan,Plynar Bratislava,http://www.plynar-bratislava.sk/,+421 904 605 080,Ružinov,Plynoinštalatér,,
Plynár - Hodinový Manžel ®,Plynár,https://www.superplynar.sk/,+421 2/222 003 66,,Služba inštalácie plynu,,
MM- Voda-Plyn-Kúrenie,MM-,https://www.vodaplynkurenie.sk/,+421 911 925 834,Petržalka,Remeslá,,
Stanislav Valent - montáž UK a plyn s.r.o.,Stanislav Valent,https://plyn-servis.wixsite.com/main,+421 903 117 335,Banská Bystrica,Servis vykurovacích zariadení,,
"Voda, plyn, kúrenie Banská Bystrica","VODA,",https://www.voda-plyn-kurenie-bb.sk/,+421 48/290 17 64,Banská Bystrica,Plynárenská spoločnosť,,
Ján Kittler - Váš plynár,JÁN,http://www.vasplynar.sk/,+421 903 121 591,,Plynoinštalatér,,
Plynár Bratislava,Plynár Bratislava,https://www.plynarba.sk/,+421 800 939 999,Rača,,,
"Tipeko, spol. S R.o.",Tipeko,,+421 37/652 88 81,Golianovo,,,
Plynári s. r. o.,Plynári,,+421 905 438 493,Košice I,Kúrenárske práce,,
Plynári s. r. o.,Plynári,https://plynari3.webnode.sk/,+421 911 830 286,Košice,,,
K+T Predaj LPG,K+T,,+421 47/563 11 49,Rimavská Sobota,Dodávateľ plynových bômb,,
Gabriel Rückschloss Montáž Plynu,Gabriel Rückschloss Montáž Plynu,,+421 45/692 92 58,Banská Štiavnica,Plynárenská spoločnosť,,
VODA | PLYN | KÚRENIE | Water-therm - Miloš Beluský,VODA,https://watertherm.sk/,+421 905 267 487,,Vodoinštalatér,,
Križan Andrej - TOP podlahár,Križan Andrej,,+421 908 601 572,Topoľčany,Obchod s podlahovými krytinami,,
Podlahári Kollári,Podlahári Kollári,,+421 950 698 476,Hoste,Podlahárske práce,,
Podlahar-chupo,Podlahar-chupo,http://www.podlahar-chupo.sk/,+421 907 319 861,"Kubrá, Trenčín",Podlahárske práce,,
Kvalitné podlahy Žilina,Kvalitné podlahy Žilina,http://www.kvalitne-podlahy.sk/,+421 903 506 518,Žilina,Obchod s podlahovými krytinami,,
Anton Budzák - Majster podlahár,ANTON,http://www.facebook.com/majster.podlahar,+421 903 127 081,Smižany,Podlahárske práce,,
Najlacnejšie podlahy,Najlacnejšie podlahy,https://www.najlacnejsiepodlahy.sk/,+421 940 515 715,Banská Bystrica,Nákupné centrum,,
PODLAHY - MEGA Parket s.r.o.,PODLAHY,http://www.kupsipodlahu.sk/,+421 903 290 890,Bratislava,Obchod,,
"Parkety, podlaha Košice - Jiří Nedviď","Parkety, podlaha Košice",http://www.parketynedvid.sk/,+421 55/233 37 77,Košice - mestská časť Západ,Profesionálne služby,,
"PARKETT STORE, s.r.o.",PARKETT STORE,http://www.parkettstore.sk/,+421 948 987 808,Petržalka,Obchod s podlahovými krytinami,,
"ProPodlahy, s.r.o.",ProPodlahy,http://www.propodlahy.sk/,+421 904 192 550,Poprad,Obchod s podlahovými krytinami,,
Uniparkett,Uniparkett,http://www.uniparkett.sk/,+421 47/432 05 33,"Priemyselný obvod I, Lučenec",Stavebniny,,
Marek Lastovička - interiérové podlahy a zámková dlažba,MAREK,http://www.facebook.com/dlazbalastovicka,+421 948 867 310,Trnava,Stavebná firma,,
SVET DREVA s.r.o.,SVET,http://www.svetdreva.sk/,+421 904 140 510,Báb,Obchod s podlahovými krytinami,,
"COLOUR - WOOD, s.r.o.",COLOUR,http://www.colourwood.sk/,+421 35/642 01 88,Nové Zámky,Obchod s podlahovými krytinami,,
KOBERCE a Podlahy,KOBERCE a Podlahy,https://www.koberceapodlahy.sk/,+421 36/631 04 02,Levice,Obchod s kobercami,,
DKP market,DKP,http://www.dkpmarket.sk/,+421 37/741 01 12,Nitra,Dodávateľ stavebných potrieb,,
Parkety Vráble,Parkety Vráble,https://parketyvrable.sk/,+421 911 936 898,Vráble,Obchod,,
PROMO PODLAHY,PROMO,http://www.promopodlahy.sk/,+421 910 100 130,Košice - mestská časť Západ,Obchod s podlahovými krytinami,,
Zetfloor,Zetfloor,https://www.zetfloor.sk/,+421 918 761 085,Trenčín,Podlahárske práce,,
AAA Pokládka podláh Bratislava,AAA,https://www.montazabruseniepodlah.sk/,+421 944 482 511,Bratislava,Pokladanie drevených podlahových krytín,,
"PARKETT MANN, s.r.o.",PARKETT MANN,http://www.parkettmann.sk/,+421 33/553 34 95,Trnava,Obchod s podlahovými krytinami,,
FILo Dvere a podlahy,FILO,http://www.dverenitra.sk/,+421 37/651 27 56,"Dolné Krškany, Nitra",Interiérové štúdio,,
PAUMAR s.r.o.,PAUMAR,https://paumar.sk/,,Marcelová,Obchod s vykurovacími zariadeniami,,
Podlahy SOLIDWAY Žilina,Podlahy SOLIDWAY Žilina,http://www.solidway.sk/,+421 41/285 81 37,Žilina,Obchod s podlahovými krytinami,,
"TOŠIPARKET - Parkety, dvere, šatníky",TOŠIPARKET,https://www.tosiparket.sk/,+421 908 065 029,Šaľa,Podlahárske práce,,
