"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Plynoma spol. s r.o.","4.2","15","Petrovianska 34/A","Solivar, Prešov",,"SK","https://plynoma.sk/","+421 51/773 24 66","Servis vykurovacích zariadení","Obchod s vykurovacími zariadeniami","Plynárenská spoločnosť",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plynoma%20spol.%20s%20r.o.&query_place_id=ChIJB6gqObntPkcRJQTEhN7Q640","Servis vykurovacích zariadení"
"TPGAS - Servis plynových zariadení","5","6","Kubínska","Mokraď, Dolný Kubín",,"SK","https://tpgas.sk/","+421 949 707 970","Obchod s plynovými zariadeniami","Servis vykurovacích zariadení","Obchod s vykurovacími zariadeniami","Plynoinštalatér",,,,,,,"https://www.google.com/maps/search/?api=1&query=TPGAS%20-%20Servis%20plynov%C3%BDch%20zariaden%C3%AD&query_place_id=ChIJ89PawXevFUcR5orDh-JHC3U","Obchod s plynovými zariadeniami"
"GAS-HEATING s.r.o","5","16",,,,,,,"Kúrenárske práce","Elektroinštalačné služby","Gravírovacie práce","Service establishment","Servis vykurovacích zariadení","Služba inštalácie plynu","Plynoinštalatér","Stavebné služby","Služba gravírovania skla",,"https://www.google.com/maps/search/?api=1&query=GAS-HEATING%20s.r.o&query_place_id=ChIJ3UwTvO8Xa0cR8TrOQoTOxr0","Kúrenárske práce"
"Helia - Inštalatér Kurenar Vodar Plyn","5","22",,,,,"https://helia.sk/","+421 944 527 693","Vodoinštalatér","Service establishment","Plynoinštalatér","Kúrenárske práce",,,,,,,"https://www.google.com/maps/search/?api=1&query=Helia%20-%20In%C5%A1talat%C3%A9r%20Kurenar%20Vodar%20Plyn&query_place_id=ChIJTwayS7ubFEcRbLKx3lKNpOE","Vodoinštalatér"
"JL-INSTAL s.r.o.Voda Plyn Kúrenie","5","2","Slávičia 6","Senec",,"SK","http://www.jl-instal.sk/","+421 917 633 744","Vodoinštalatér","Plynoinštalatér","Kúrenárske práce",,,,,,,,"https://www.google.com/maps/search/?api=1&query=JL-INSTAL%20s.r.o.Voda%20Plyn%20K%C3%BArenie&query_place_id=ChIJa5yCiudsa6oRjIaaW9eT0CE","Vodoinštalatér"
"GAZ-TERM | Daniel Palko","5","7","Žilinská 775","Považská Bystrica",,"SK","http://www.gaz-term.sk/","+421 907 159 269","Obchod s potrebami pre inštalatérov","Veľkoobchodná predajňa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GAZ-TERM%20%7C%20Daniel%20Palko&query_place_id=ChIJ9VlQVzCLFEcRFTP18GZjUrs","Obchod s potrebami pre inštalatérov"
"PRIPOJKY.info | Projekty voda - kanalizácia - plyn - elektrika - elektroinštalácie","4.3","19","Fraňa Kráľa 477/15","Opatovce, Žitavany",,"SK","https://pripojky.info/","+421 915 768 953","Projektantské služby","Stavebný inžinier","Stavebné služby",,,,,,,,"https://www.google.com/maps/search/?api=1&query=PRIPOJKY.info%20%7C%20Projekty%20voda%20-%20kanaliz%C3%A1cia%20-%20plyn%20-%20elektrika%20-%20elektroin%C5%A1tal%C3%A1cie&query_place_id=ChIJPYSZD2cva0cRX9A7eGUaBKk","Projektantské služby"
"Kúrenie, voda, plyn-Pavol Jakubec","5","1","Rudolfa Jašíka 592","Turzovka",,"SK",,"+421 905 839 211","Kúrenárske práce",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=K%C3%BArenie%2C%20voda%2C%20plyn-Pavol%20Jakubec&query_place_id=ChIJOaLFZh1vFEcRYpLf8r932y8","Kúrenárske práce"
"ABSOL s.r.o.","4.4","118","Šenkvická cesta 14/U","Pezinok",,"SK","http://www.absol.sk/","+421 918 583 574","Obchod","Kanalizačné služby","Elektroinštalačné služby","Plynoinštalatér","Stavebné služby","Kúrenárske práce","Stavby rodinných domov","Vodoinštalatér","Obchod s potrebami pre inštalatérov",,"https://www.google.com/maps/search/?api=1&query=ABSOL%20s.r.o.&query_place_id=ChIJbwWEjbaQbEcRADXsR4RWSL8","Obchod"
"Montinštala","4.2","5","25, Rastislavova 12","Lužianky",,"SK","http://www.montinstala.sk/","+421 903 235 563","Vodoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Montin%C5%A1tala&query_place_id=ChIJBePOmVg_a0cRlJ2Bi-_8rVM","Vodoinštalatér"
"Revízie plynových zariadení - RTHOMOLA","5","17","Schurmannova 1209/13","Nitra",,"SK","https://www.rthomola.sk/","+421 903 606 010","Služba inštalácie plynu","Plynárenská spoločnosť",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rev%C3%ADzie%20plynov%C3%BDch%20zariaden%C3%AD%20-%20RTHOMOLA&query_place_id=ChIJ6dw1IuE-a0cRc0m2d_DFrqk","Služba inštalácie plynu"
"Plynomont, S.r.o.","3.6","9","Gúgska 705","Nové Zámky",,"SK","https://www.novezamky.sk/plynomont-s-r-o/os-1748","+421 35/642 42 24",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Plynomont%2C%20S.r.o.&query_place_id=ChIJ6ZXPi7kGa0cRD_sasOKGS-I",
"V-K-Plyn","5","2",,,,,"https://v-k-plyn.sk/","+421 904 137 502","Kúrenárske práce","Service establishment","Plynoinštalatér","Vodoinštalatér",,,,,,,"https://www.google.com/maps/search/?api=1&query=V-K-Plyn&query_place_id=ChIJiZctwGMLL2wRoy6-VlXOo98","Kúrenárske práce"
"Nyári Ján","4.3","3","Dubník 556","Dubník",,"SK","http://www.nyari.sk/","+421 905 666 551","Vodoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ny%C3%A1ri%20J%C3%A1n&query_place_id=ChIJX_q0LmH5akcRSINN1baKlYE","Vodoinštalatér"
"Gasrev s.r.o.","5","48","Dénešova 1141/71","Košice",,"SK","https://gasrev.sk/","+421 915 300 345","Plynoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Gasrev%20s.r.o.&query_place_id=ChIJyXelJjnhPkcRv2qmP3fAln8","Plynoinštalatér"
"Revízny technik - východ","5","2",,,,,"https://www.reviznytechnik-vychod.sk/","+421 919 141 487","Služba inštalácie plynu","Energetické zariadenia a riešenia","Service establishment","Plynoinštalatér","Kúrenárske práce",,,,,,"https://www.google.com/maps/search/?api=1&query=Rev%C3%ADzny%20technik%20-%20v%C3%BDchod&query_place_id=ChIJlXE-aVwr0mIREq13JfdEIz4","Služba inštalácie plynu"
"REVÍZIE PLYNU a plynových zariadení",,,"Bajzova 27","Žilina",,"SK",,"+421 940 225 747","Plynoinštalatér",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=REV%C3%8DZIE%20PLYNU%20a%20plynov%C3%BDch%20zariaden%C3%AD&query_place_id=ChIJ27WLmm9fFEcRvcwUYIGU48I","Plynoinštalatér"
"Revízie a servis s.r.o.","2.3","3","Bernolákova 1521/6","Veča, Šaľa",,"SK","http://www.revizieaservis.sk/","+421 908 711 850","Kúrenárske práce",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rev%C3%ADzie%20a%20servis%20s.r.o.&query_place_id=ChIJ5T4O_eRsa0cRT__2Yw46OtM","Kúrenárske práce"
"Voda - plyn - kúrenie","5","1","Jazerná","Komárno",,"SK","https://vizgazfutes.ewk.hu/","+421 908 642 753","Mechanik",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Voda%20-%20plyn%20-%20k%C3%BArenie&query_place_id=ChIJw-_DvuGta0cRDrHFS2hchWc","Mechanik"
"Revízie Bratislava","4.9","30","Gogoľova 18","Petržalka",,"SK","http://www.revizieba.sk/","+421 910 681 668","Elektrikár","Technické výkresy","Technik",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rev%C3%ADzie%20Bratislava&query_place_id=ChIJzVQygX6JbEcRTjmrFcQ1__c","Elektrikár"
"Molnár - revízia plynu",,,,,,,,"+421 918 749 210","Služba inštalácie plynu","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Moln%C3%A1r%20-%20rev%C3%ADzia%20plynu&query_place_id=ChIJv4DWPqEynEERGIEPPsIT3ZQ","Služba inštalácie plynu"
"Vzduchotechnika-shop.sk","4.2","10","Mužla 355","Mužla",,"SK","https://vzduchotechnika-shop.sk/","+421 949 762 827","Elektronické obchodovanie","Obchod s klimatizáciami","Dodávateľ klimatizačných systémov",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vzduchotechnika-shop.sk&query_place_id=ChIJZZJngpxfakcRm7ExhTtWi8Q","Elektronické obchodovanie"
"AMEXX s.r.o.","4.8","16","Mužla 355","Mužla",,"SK","https://amexx.sk/","+421 948 912 150","Elektronické obchodovanie",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AMEXX%20s.r.o.&query_place_id=ChIJuwaU-zBeakcRkHAwJkd-2ww","Elektronické obchodovanie"
"IDEÁL Klíma","5","4","Mužla č. 37","Mužla",,"SK",,"+421 911 218 996",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IDE%C3%81L%20Kl%C3%ADma&query_place_id=ChIJIQeU-zBeakcRNtcZHBNImSQ",
"Coldex - Klimatizačná Technika","4.6","9","Komenského 103","Štúrovo",,"SK",,"+421 903 226 337","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Coldex%20-%20Klimatiza%C4%8Dn%C3%A1%20Technika&query_place_id=ChIJB3mgsLZhakcRlh4SqTdWgKc","Dodávateľ klimatizácií"
"Lokálna rekuperácia Blauberg",,,,"Mužla",,"SK","https://vzduchotechnika-shop.sk/rekuperatory-rekuperacia/rekuperatory-do-jednej-miestnosti","+421 904 040 498","Dodávateľ vzduchotechniky",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Lok%C3%A1lna%20rekuper%C3%A1cia%20Blauberg&query_place_id=ChIJMa5nibdfakcRL85a1urq6mY","Dodávateľ vzduchotechniky"
"ELEKTRO KLIMA NZ, s.r.o.","4.6","26","Komárňanská cesta 11","Dolná kapsa, Nové Zámky",,"SK","http://www.elektroklimanz.sk/","+421 35/642 10 86","Dodávateľ klimatizačných systémov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ELEKTRO%20KLIMA%20NZ%2C%20s.r.o.&query_place_id=ChIJucBfewYEa0cRdnDCGJn0CKU","Dodávateľ klimatizačných systémov"
"Rekuperácia",,,"Mužla č.37","Mužla",,"SK","https://a-rekuperacia.sk/obchodne-podmienky.html","+421 948 912 150",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rekuper%C3%A1cia&query_place_id=ChIJIQeU-zBeakcRWhyDcbaigGU",
"VZDUCHOTECHNIKA KLIMAC s.r.o.","4.7","18","Odborárska 52","Bratislava",,"SK","http://www.klimac.sk/","+421 903 437 170","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=VZDUCHOTECHNIKA%20KLIMAC%20s.r.o.&query_place_id=ChIJU27WwpWObEcRl8MUcdLPYC0","Dodávateľ klimatizácií"
"Podlahovky , klimatizácia a rekuperácia",,,"Sládkovičova 6","Železničný rad, Štúrovo",,"SK","http://www.techpartner.sk/","+421 904 040 498","Obchod s vykurovacími zariadeniami",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Podlahovky%20%2C%20klimatiz%C3%A1cia%20a%20rekuper%C3%A1cia&query_place_id=ChIJ19Ztrd5hakcRVdr5JucdTBU","Obchod s vykurovacími zariadeniami"
"AutoGál","4.6","45","79, Nánanská cesta 1459","Štúrovo",,"SK","http://www.autogal.sk/","+421 905 424 346","Autoelektronický servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AutoG%C3%A1l&query_place_id=ChIJc5kfXMhhakcRSq1w4DsADAw","Autoelektronický servis"
"AroCar Pneuservis","5","9","Ulica svätého Urbána 313/10","Svodín",,"SK",,"+421 950 473 612","Oprava a údržba automobilov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=AroCar%20Pneuservis&query_place_id=ChIJ_XiNG-b3akcRUf4exVY-i_Y","Oprava a údržba automobilov"
"O.K.R. motor, s.r.o.","4.6","5","Hviezdoslavova 2908/35","Nána",,"SK",,"+421 905 420 512","Automobilový servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=O.K.R.%20motor%2C%20s.r.o.&query_place_id=ChIJjQNIszNgakcRQAONrR_EbOs","Automobilový servis"
"RB Slovakia s.r.o.","4.4","35","Mlynská 619","Bátorove Kosihy",,"SK",,"+421 902 944 302","Automobilový servis","Predaj a lízing elektrických skútrov","Výkup zberných surovín",,,,,,,,"https://www.google.com/maps/search/?api=1&query=RB%20Slovakia%20s.r.o.&query_place_id=ChIJrz2qRX9XakcR5fMq3fC-kYg","Automobilový servis"
"I.T.-klimaservis s.r.o.","4.4","25","Hlavná 554/100","Marcelová",,"SK","http://www.klimaservisit.sk/","+421 949 419 137","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=I.T.-klimaservis%20s.r.o.&query_place_id=ChIJmWrnk2ZRakcRV-f0b3JMapo","Dodávateľ klimatizácií"
"KTM Servis a Predaj","5","1","Madáchova 2582/80","Nána",,"SK","https://okrmoto.com/novinky","+421 905 420 513","Automobilový servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=KTM%20Servis%20a%20Predaj&query_place_id=ChIJkZeLpU5hakcRxhMgyeXJpYI","Automobilový servis"
"Hunor Toma","5","1","Nová Vieska 229","Nová Vieska",,"SK","http://www.hunor.sk/","+421 902 354 122","Konštrukcia striech",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hunor%20Toma&query_place_id=ChIJgXXtB-T3akcRKTeo96MR04A","Konštrukcia striech"
"Chladenie a klimatizácie - PARTNER","4.1","16","Pod záhradami 553/30","Dvory nad Žitavou",,"SK","http://www.chladenieaklimatizacie.sk/","+421 905 420 619","Dodávateľ klimatizácií","Oprava klimatizačných zariadení","Opravovňa chladničiek",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Chladenie%20a%20klimatiz%C3%A1cie%20-%20PARTNER&query_place_id=ChIJHxczXBUCa0cRub6RKBNYdKA","Dodávateľ klimatizácií"
"NEXT-Klimatizácie s.r.o.","5","110","M. R. Štefánika 32","Nové Zámky",,"SK","https://www.klimatizaciadodomu.sk/","+421 950 732 643","Obchod s klimatizáciami",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=NEXT-Klimatiz%C3%A1cie%20s.r.o.&query_place_id=ChIJe4FDYdQBa0cR95mC7Vi2cgg","Obchod s klimatizáciami"
"HRN Garage","5","1","Cintorìnska 1179","Mužla",,"SK",,,"Automobilový servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=HRN%20Garage&query_place_id=ChIJY1NzWQBfakcR75pLzaXUqsM","Automobilový servis"
"Klimatizácia - Intel-DOM","5","284","Tabaková 18","Trebišov",,"SK","http://www.intel-dom.sk/","+421 940 369 169","Dodávateľ klimatizácií","Oprava klimatizačných zariadení","Obchod s klimatizáciami","Dodávateľ klimatizačných systémov","Obchod s vykurovacími zariadeniami","Dodávateľ vzduchotechniky",,,,,"https://www.google.com/maps/search/?api=1&query=Klimatiz%C3%A1cia%20-%20Intel-DOM&query_place_id=ChIJ_31pNyzVPkcRW19G6aI41FU","Dodávateľ klimatizácií"
"GTA Klíma s.r.o.","5","15","Gúgska 48","Nové Zámky",,"SK","http://shop.gtaklima.sk/","+421 905 458 871","Obchod s klimatizáciami",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=GTA%20Kl%C3%ADma%20s.r.o.&query_place_id=ChIJ9aPIIYMHa0cRucLgKl8wWXo","Obchod s klimatizáciami"
"MAXKLÍMA - Predaj, montáž a servis klimatizácií","4.6","9","Semerovo 268","Semerovo",,"SK","http://maxklima.eu/","+421 911 114 224","Obchod s klimatizáciami",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=MAXKL%C3%8DMA%20-%20Predaj%2C%20mont%C3%A1%C5%BE%20a%20servis%20klimatiz%C3%A1ci%C3%AD&query_place_id=ChIJa8H2ZmX9akcR4Hi7Tl9Og7w","Obchod s klimatizáciami"
"Klimatizačná ambulancia s.r.o.","5","3","Malá komárňanská 1155/24","Dvory nad Žitavou",,"SK","http://klimaambulancia.sk/","+421 949 445 865","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Klimatiza%C4%8Dn%C3%A1%20ambulancia%20s.r.o.&query_place_id=ChIJzXZGLF8Da0cRSZ1qJRXk_B8","Dodávateľ klimatizácií"
"Codex Trade s.r.o.","4.7","33","Železničná 20","Hurbanovo",,"SK","http://www.codextrade.sk/","+421 35/760 25 73","Obchod",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Codex%20Trade%20s.r.o.&query_place_id=ChIJvSzhn9qqa0cRjest5s3etxk","Obchod"
"Zoltán Šmíd-SMIDISERVICE","4.9","24","Škovránková 911/41","Svodín",,"SK","http://www.smidiservice.sk/","+421 905 713 325","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zolt%C3%A1n%20%C5%A0m%C3%ADd-SMIDISERVICE&query_place_id=ChIJy5Ff_YD3akcR7ta2wUVpxXk","Dodávateľ klimatizácií"
"Zoltán Dombóvári DombiKlíma",,,"Nová 1334/21","Hurbanovo",,"SK","http://www.dombiklima.sk/","+421 903 477 283","Obchod s klimatizáciami",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Zolt%C3%A1n%20Domb%C3%B3v%C3%A1ri%20DombiKl%C3%ADma&query_place_id=ChIJUVWFGZ-ra0cRje-5Vvuqpro","Obchod s klimatizáciami"
"Kristián Tóth - SOLAR & KLIMA","5","2","Komárňanská 285","Hurbanovo",,"SK",,"+421 918 274 246","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kristi%C3%A1n%20T%C3%B3th%20-%20SOLAR%20%26%20KLIMA&query_place_id=ChIJAYGYhSera0cRuO69B47lbXI","Dodávateľ klimatizácií"
"IMPERIUM GROUP","5","2","Hlavná 46","Chotín",,"SK","https://www.imperiumgroup.sk/","+421 904 648 856","Automobilový servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=IMPERIUM%20GROUP&query_place_id=ChIJ-epW6cNTakcRpfmFZAKDoOg","Automobilový servis"
"Jachcemklimu.sk","5","7",,,,,"https://jachcemklimu.sk/","+421 950 405 633","Dodávateľ klimatizácií","Service establishment",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Jachcemklimu.sk&query_place_id=ChIJW1OEZE9NJwYRI2poSDhtPAw","Dodávateľ klimatizácií"
"Csaba Simon-AUTOSERVIS","4.9","31","Perješ 232","Marcelová",,"SK",,"+421 905 269 705","Oprava a údržba automobilov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Csaba%20Simon-AUTOSERVIS&query_place_id=ChIJ86HwgONTakcRZlkUHI70YhA","Oprava a údržba automobilov"
"Ladislav Trenčík AUTOSERVIS","4.8","5","Sedmerovce 300/2","Marcelová",,"SK",,"+421 907 130 505","Oprava a údržba automobilov",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ladislav%20Tren%C4%8D%C3%ADk%20AUTOSERVIS&query_place_id=ChIJd6hsketRakcRbgdDAMRHjbU","Oprava a údržba automobilov"
"Procar Servis s.r.o.","5","8","Iža 777","Iža",,"SK","http://www.procarservis.sk/","+421 915 647 266","Automobilový servis",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Procar%20Servis%20s.r.o.&query_place_id=ChIJ1Td8eX9TakcR0GkbDCQP_Ns","Automobilový servis"
"Rekuperačka s.r.o.","5","44","Kpt. Nálepku 722","Galanta",,"SK","http://www.rekuperacka.com/","+421 944 093 369","Dodávateľ klimatizácií",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rekupera%C4%8Dka%20s.r.o.&query_place_id=ChIJZdttiZZva0cRn6U_V7A4ni0","Dodávateľ klimatizácií"
"TeploZima","4.9","1989","vstup vo dvore, Sabinovská 14","Bratislava",,"SK","http://www.teplozima.sk/","+421 905 305 306","Obchod s klimatizáciami","Dodávateľ systémov požiarnej ochrany","Servis vykurovacích zariadení","Solárna fotovoltaická elektráreň",,,,,,,"https://www.google.com/maps/search/?api=1&query=TeploZima&query_place_id=ChIJp0Z5FZiLbEcRvakb3oGI6PE","Obchod s klimatizáciami"
"Rekuperácia AERO SYSTEM","5","2","Jarmočná 138","Stará Ľubovňa",,"SK","https://www.comair.sk/","+421 947 974 852","Dodávateľ vzduchotechniky","Dodávateľ klimatizácií","Dodávateľ nabíjacích staníc pre elektromobily","Vodoinštalatér",,,,,,,"https://www.google.com/maps/search/?api=1&query=Rekuper%C3%A1cia%20AERO%20SYSTEM&query_place_id=ChIJS_5UAVQNPkcR5DujMRiCbIU","Dodávateľ vzduchotechniky"
"lokalnerekuperacie.sk","5","109","Mlynská 4","Lučenec",,"SK","https://www.lokalnerekuperacie.sk/","+421 948 914 440","Dodávateľ vzduchotechniky",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=lokalnerekuperacie.sk&query_place_id=ChIJPRIjhg75P0cRbdrqcB00ZWA","Dodávateľ vzduchotechniky"
"Rekuperacia | Rekuperacia do domu | Rekuperacia rozvody | ReEL Instal s.r.o.","5","18","Jasenovská 495","Oravská Lesná-Brišovka",,"SK","http://www.reelinstal.sk/","+421 949 612 661","Dodávateľ vzduchotechniky",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rekuperacia%20%7C%20Rekuperacia%20do%20domu%20%7C%20Rekuperacia%20rozvody%20%7C%20ReEL%20Instal%20s.r.o.&query_place_id=ChIJw1HlmlZLFEcRRYFQ12T9MVg","Dodávateľ vzduchotechniky"
"Tvojarekuperacia","5","3",,"Sedliská-Sedliska",,"SK","http://tvojarekuperacia.sk/","+421 907 992 582","Dodávateľ vzduchotechniky",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tvojarekuperacia&query_place_id=ChIJF_WIgrF4kS0RskVOfNSFevU","Dodávateľ vzduchotechniky"
"RS-PROFI s.r.o.","5","27","Liptovská Teplá 119","Liptovská Teplá",,"SK","http://www.profi-rekuperacia.sk/","+421 950 589 098","Dodávateľ vzduchotechniky",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RS-PROFI%20s.r.o.&query_place_id=ChIJsb-nLI-fFUcRrolAf6fleUI","Dodávateľ vzduchotechniky"
"RECUPA Systems, s.r.o.","5","6","Oravská Polhora 719, Oravská Polhora","Oravská Polhora",,"SK","http://www.recupasystems.sk/","+421 902 724 548","Dodávateľ vzduchotechniky","Dodávateľ klimatizačných systémov",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RECUPA%20Systems%2C%20s.r.o.&query_place_id=ChIJ35BDCX3TFUcREQBWflYlpq0","Dodávateľ vzduchotechniky"
"Centrum rekuperacie ( Helios )","4.5","13","269C, Pri vinohradoch 9798","Bratislava",,"SK","http://www.centrum-rekuperacie.sk/","+421 2/436 330 74","Firemná kancelária","Obchod",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Centrum%20rekuperacie%20(%20Helios%20)&query_place_id=ChIJR8RWrBWObEcRRnlpj6kHT-o","Firemná kancelária"
